MODALIDAD,DELITO HOMOL
ROBO A REPARTIDOR Y VEHICULO SIN VIOLENCIA,ROBO A REPARTIDOR
TRANSEUNTE EN VIA PUBLICA C/V,ROBO A TRANSEÚNTE EN VÍA PÚBLICA
S/V. A TRANSEUNTE,ROBO A TRANSEÚNTE EN VÍA PÚBLICA
"NOMINA, ROBO C/V A TRANSEUNTE",ROBO A TRANSEÚNTE EN VÍA PÚBLICA
ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEÚNTE EN VÍA PÚBLICA
ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEÚNTE EN VÍA PÚBLICA
ROBO A TRANSEUNTE EN VIA PUBLICA (NOMINA) CON VIOLENCIA,ROBO A TRANSEÚNTE EN VÍA PÚBLICA
TRANSEUNTE EN VIA PUBLICA C/V,ROBO A TRANSEÚNTE EN VÍA PÚBLICA
S/V. A TRANSEUNTE,ROBO A TRANSEÚNTE EN VÍA PÚBLICA
"NOMINA, ROBO C/V A TRANSEUNTE",ROBO A TRANSEÚNTE EN VÍA PÚBLICA
ROBO A TRANSEUNTE EN VIA PUBLICA (NOMINA) SIN VIOLENCIA,ROBO A TRANSEÚNTE EN VÍA PÚBLICA
ROBO A TRANSPORTISTA Y VEHICULO PESADO C/V,ROBO A TRANSPORTISTA
ROBO A TRANSPORTISTA Y VEHICULO PESADO S/V,ROBO A TRANSPORTISTA
ROBO A TRANSPORTISTA Y VEHICULO PESADO CON VIOLENCIA,ROBO A TRANSPORTISTA
ROBO A TRANSPORTISTA Y VEHICULO PESADO SIN VIOLENCIA,ROBO A TRANSPORTISTA
ROBO VEHICULO DE TRANSPORTE C/V,ROBO DE VEHÍCULO CON VIOLENCIA
AUTO ROBO C/V SERV. PARTICULAR,ROBO DE VEHÍCULO CON VIOLENCIA
AUTO ROBO C/V SERV. PUBLICO,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO DE MOTOCICLETA C/V,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO VEHICULO OFICIAL C/V,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO VEHICULO MAQUINARIA C/V,ROBO DE VEHÍCULO CON VIOLENCIA
AUTO ROBO C/V SERV. PARTICULAR,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO DE MOTOCICLETA C/V,ROBO DE VEHÍCULO CON VIOLENCIA
AUTO ROBO C/V SERV. PUBLICO,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO VEHICULO OFICIAL C/V,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO VEHICULO MAQUINARIA C/V,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO VEHICULO DE TRANSPORTE C/V,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO DE MOTOCICLETA CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO DE VEHICULO DE SERVICIO PÚBLICO CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO DE VEHICULO DE SERVICIO DE TRANSPORTE CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO DE MAQUINARIA CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO DE VEHICULO DE SERVICIO OFICIAL CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO DE VEHICULO OFICIAL C/V,ROBO DE VEHÍCULO CON VIOLENCIA
ROBO DE VEHICULO PARTICULAR CON VIOLENCIA,ROBO DE VEHÍCULO CON VIOLENCIA
AUTO ESTACIONADO S. PUBLICO,ROBO DE VEHÍCULO SIN VIOLENCIA
AUTO ESTACIONADO S. PARTICULAR,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO DE MOTOCICLETA S/V,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO VEHICULO OFICIAL S/V,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO VEHICULO DE TRANSPORTE S/V,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO VEHICULO MAQUINARIA S/V,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO DE VEHICULO DE SERVICIO PÚBLICO SIN VIOLENCIA,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO DE VEHICULO DE SERVICIO DE TRANSPORTE SIN VIOLENCIA,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO DE VEHICULO DE SERVICIO OFICIAL SIN VIOLENCIA,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO DE MAQUINARIA SIN VIOLENCIA,ROBO DE VEHÍCULO SIN VIOLENCIA
AUTO ESTACIONADO S. PARTICULAR,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO DE MOTOCICLETA S/V,ROBO DE VEHÍCULO SIN VIOLENCIA
AUTO ESTACIONADO S. PUBLICO,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO VEHICULO DE TRANSPORTE S/V,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO VEHICULO OFICIAL S/V,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO VEHICULO MAQUINARIA S/V,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO DE VEHICULO OFICIAL S/V,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO DE VEHÍCULO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO SIN VIOLENCIA
ROBO DE VEHÍCULO UTILITARIO SIN VIOLENCIA,ROBO DE VEHÍCULO SIN VIOLENCIA
PLAGIO O SECUESTRO,SECUESTRO
SECUESTRO,SECUESTRO
VIOLACION,VIOLACIÓN
VIOLACION EQUIPARADA,VIOLACIÓN
VIOLACION TUMULTUARIA,VIOLACIÓN
VIOLACION EQUIPARADA POR CONOCIDO,VIOLACIÓN
"VIOLACION EQUIPARADA, ROBO DE AUTO",VIOLACIÓN
VIOLACION TUMULTUARIA EQUIPARADA POR CONOCIDO,VIOLACIÓN
VIOLACION EQUIPARADA Y ROBO DE VEHICULO,VIOLACIÓN
VIOLACION TUMULTUARIA EQUIPARADA,VIOLACIÓN
FEMINICIDIO POR ARMA BLANCA,HOMICIDIO DOLOSO
ROBO A SUCURSAL BANCARIA CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA
FEMINICIDIO POR DISPARO DE ARMA DE FUEGO,HOMICIDIO DOLOSO
ROBO A SUCURSAL BANCARIA DENTRO DE  TIENDAS DE AUTOSERVICIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA
"ROBO DE VEHICULO EN PENSION, TALLER Y AGENCIAS C/V",ROBO DE VEHÍCULO CON VIOLENCIA
"ROBO DE VEHICULO EN PENSION, TALLER Y AGENCIAS S/V",ROBO DE VEHÍCULO SIN VIOLENCIA
FEMINICIDIO POR GOLPES,HOMICIDIO DOLOSO
ROBO A TRANSEUNTE CONDUCTOR DE TAXI PUBLICO Y PRIVADO CON VIOLENCIA,ROBO A CONDUCTOR/PASAJERO DE VEHÍCULO CON VIOLENCIA
HOMICIDIOS INTENCIONALES (OTROS),HOMICIDIO DOLOSO
VIOLACION Y ROBO DE VEHICULO,VIOLACIÓN
ROBO DE MERCANCIA A TRANSPORTISTA C/V,ROBO A TRANSPORTISTA
